Year;Day;Date;Number_1;Number_2;Number_3;Number_4;Number_5;Bonus_Ball;Jackpot;Outcome
2024;Friday;16 February 2024;18;33;35;46;48;16;R31,589,387.20;Roll
2024;Tuesday;13 February 2024;13;15;30;32;46;17;R25,998,845.70;Roll
2024;Friday;9 February 2024;8;16;24;29;36;17;R21,354,198.70;Roll
2024;Tuesday;6 February 2024;2;6;10;18;28;15;R15,980,720.22;Roll
2024;Friday;2 February 2024;21;35;37;43;46;19;R10,926,323.44;Roll
2024;Tuesday;30 January 2024;1;8;30;39;44;3;R5,123,483.59;Roll
2024;Friday;26 January 2024;1;6;13;20;21;12;R121,629,573.01;Won
2024;Tuesday;23 January 2024;9;16;21;26;39;16;R110,000,000;Roll
2024;Friday;19 January 2024;11;18;20;41;46;15;R101,372,879.71;Roll
2024;Tuesday;16 January 2024;5;29;40;42;47;6;R92,472,295.02;Roll
2024;Friday;12 January 2024;15;29;36;45;49;5;R85,011,886.30;Roll
2024;Tuesday;9 January 2024;12;20;24;33;43;19;R77,533,208.30;Roll
2024;Friday;5 January 2024;2;18;31;43;50;7;R71,139,199.18;Roll
2024;Tuesday;2 January 2024;9;20;23;46;50;5;R64,699,042.14;Roll
2023;Friday;29 December 2023;17;21;38;48;49;15;R59,443,542.85;Roll
2023;Tuesday;26 December 2023;6;29;30;34;38;12;R52,828,465.99;Roll
2023;Friday;22 December 2023;24;27;29;34;38;16;R48,528,423.75;Roll
2023;Tuesday;19 December 2023;4;17;25;28;35;2;R42,601,550.92;Roll
2023;Friday;15 December 2023;16;24;34;38;44;13;R37,388,159.33;Roll
2023;Tuesday;12 December 2023;7;9;15;38;41;17;R32,502,273.94;Roll
2023;Friday;8 December 2023;2;22;24;32;33;1;R27,944,409.68;Roll
2023;Tuesday;5 December 2023;19;20;21;30;39;12;R22,863,243.30;Roll
2023;Friday;1 December 2023;16;18;44;46;48;8;R18,029,987.82;Roll
2023;Tuesday;28 November 2023;4;17;25;26;46;5;R12,520,901.12;Roll
2023;Friday;24 November 2023;21;32;40;41;47;4;R8,161,002.49;Roll
2023;Tuesday;21 November 2023;3;13;24;45;49;10;R3,634,225.34;Roll
2023;Friday;17 November 2023;4;20;24;30;42;8;R8,187,355.60;Won
2023;Tuesday;14 November 2023;10;24;30;33;44;20;R3,921,651.05;Roll
2023;Friday;10 November 2023;3;18;21;37;46;3;R4,744,491.60;Won
2023;Tuesday;7 November 2023;3;13;28;31;40;15;R32,027,605.70;Won
2023;Friday;3 November 2023;1;8;24;26;31;2;R26,850,441.63;Roll
2023;Tuesday;31 October 2023;10;15;19;36;48;4;R20,827,780.29;Roll
2023;Friday;27 October 2023;16;17;21;31;36;15;R15,867,256.50;Roll
2023;Tuesday;24 October 2023;1;10;33;37;46;4;R10,687,972.47;Roll
2023;Friday;20 October 2023;3;7;13;18;42;12;R6,309,138.15;Roll
2023;Tuesday;17 October 2023;5;18;29;36;49;18;R128,921,492.36;Won
2023;Friday;13 October 2023;9;11;39;41;44;19;R119,004,678.13;Roll
2023;Tuesday;10 October 2023;7;15;19;20;49;10;R108,439,065.81;Roll
2023;Friday;6 October 2023;19;21;25;41;49;9;R99,971,685.96;Roll
2023;Tuesday;3 October 2023;3;8;15;24;45;14;R90,000,000;Roll
2023;Friday;29 September 2023;6;14;27;31;47;14;R82,728,846.33;Roll
2023;Tuesday;26 September 2023;8;22;25;35;44;2;R75,000,000;Roll
2023;Friday;22 September 2023;8;9;19;26;27;5;R67,658,699.43;Roll
2023;Tuesday;19 September 2023;15;18;36;43;46;18;R61,097,589.13;Roll
2023;Friday;15 September 2023;3;21;28;35;46;19;R55,483,914.12;Roll
2023;Tuesday;12 September 2023;3;15;18;36;45;20;R49,395,166.77;Roll
2023;Friday;8 September 2023;5;8;14;35;36;12;R44,193,864.49;Roll
2023;Tuesday;5 September 2023;4;12;18;24;50;12;R38,131,398.14;Roll
2023;Friday;1 September 2023;1;3;8;33;49;4;R32,830,987.14;Roll
2023;Tuesday;29 August 2023;8;23;31;36;44;17;R26,755,410.85;Roll
2023;Friday;25 August 2023;3;4;7;13;24;5;R21,921,333.21;Roll
2023;Tuesday;22 August 2023;5;10;16;19;29;10;R16,661,210.59;Roll
2023;Friday;18 August 2023;1;3;6;7;16;1;R12,853,436.14;Roll
2023;Tuesday;15 August 2023;7;9;16;34;38;11;R8,314,196.65;Roll
2023;Friday;11 August 2023;30;35;42;43;44;5;R4,384,457.94;Roll
2023;Tuesday;8 August 2023;17;18;26;39;46;4;R49,934,523;Won
2023;Friday;4 August 2023;19;27;28;37;43;4;R44,352,256.08;Roll
2023;Tuesday;1 August 2023;1;16;30;38;46;10;R38,278,561.63;Roll
2023;Friday;28 July 2023;2;6;11;20;47;7;R33,084,375.64;Roll
2023;Tuesday;25 July 2023;14;24;25;44;48;4;R27,715,831.14;Roll
2023;Friday;21 July 2023;19;21;25;31;48;20;R22,862,457.36;Roll
2023;Tuesday;18 July 2023;5;21;33;45;50;5;R17,984,956.31;Roll
2023;Friday;14 July 2023;1;22;31;32;41;9;R13,724,108.97;Roll
2023;Tuesday;11 July 2023;10;19;20;22;48;19;R9,050,706.69;Roll
2023;Friday;7 July 2023;8;21;25;26;29;18;R4,951,457.45;Roll
2023;Tuesday;4 July 2023;13;29;30;31;47;8;R3,982,072.10;Won
2023;Friday;30 June 2023;9;17;27;36;37;16;R66,000,000;Won
2023;Tuesday;27 June 2023;7;21;33;45;46;12;R58,657,100.40;Roll
2023;Friday;23 June 2023;19;37;41;43;47;16;R52,939,774.25;Roll
2023;Tuesday;20 June 2023;20;24;33;44;48;6;R47,142,657.44;Roll
2023;Friday;16 June 2023;13;21;26;30;50;2;R42,408,651.58;Roll
2023;Tuesday;13 June 2023;10;28;31;35;42;1;R37,441,114.63;Roll
2023;Friday;9 June 2023;5;17;22;27;37;2;R32,440,761.94;Roll
2023;Tuesday;6 June 2023;3;9;15;38;44;12;R26,975,613.41;Roll
2023;Friday;2 June 2023;1;4;5;12;25;14;R22,102,837.13;Roll
2023;Tuesday;30 May 2023;3;7;38;48;50;16;R16,794,178.31;Roll
2023;Friday;26 May 2023;4;9;21;22;41;7;R12,322,015.18;Roll
2023;Tuesday;23 May 2023;20;24;26;28;38;13;R7,628,118.75;Roll
2023;Friday;19 May 2023;3;16;22;42;49;19;R4,139,602.69;Roll
2023;Tuesday;16 May 2023;1;5;14;36;45;19;R38,291,771;Won
2023;Friday;12 May 2023;5;11;30;40;47;18;R33,657,332.32;Roll
2023;Tuesday;9 May 2023;2;4;16;17;34;19;R28,169,194.99;Roll
2023;Friday;5 May 2023;2;20;24;29;43;20;R23,096,431.75;Roll
2023;Tuesday;2 May 2023;13;16;17;41;43;18;R17,302,876.34;Roll
2023;Friday;28 April 2023;20;21;28;35;44;11;R13,653,630.18;Roll
2023;Tuesday;25 April 2023;10;12;13;23;47;16;R8,706,714.14;Roll
2023;Friday;21 April 2023;2;3;6;12;49;10;R4,272,897;Roll
2023;Tuesday;18 April 2023;3;5;8;15;25;16;R8,693,189.40;Won
2023;Friday;14 April 2023;16;20;33;37;44;16;R4,640,403.64;Roll
2023;Tuesday;11 April 2023;4;30;38;43;49;19;R33,670,044.67;Won
2023;Friday;7 April 2023;9;15;21;22;26;13;R29,301,316.96;Roll
2023;Tuesday;4 April 2023;15;18;29;33;35;12;R24,914,798.96;Roll
2023;Friday;31 March 2023;7;20;41;42;49;7;R20,000,000;Roll
2023;Tuesday;28 March 2023;10;22;27;42;49;19;R12,906,053.34;Roll
2023;Friday;24 March 2023;6;27;33;45;46;14;R10,000,000;Roll
2023;Tuesday;21 March 2023;7;22;28;34;41;10;R3,355,849.53;Roll
2023;Friday;17 March 2023;21;22;27;41;43;5;R75,000,000;Won
2023;Tuesday;14 March 2023;8;20;29;42;44;16;R66,967,732.63;Roll
2023;Friday;10 March 2023;12;19;22;27;37;6;R60,818,027.48;Roll
2023;Tuesday;7 March 2023;8;14;15;27;49;16;R54,055,800.81;Roll
